CASRN	Chemical	Hvap298
54897-66-4	(Z) 4-tetradecenyl acetate 	87800
54939-04-7	perfluorobicyclo[4.4.0]dec-1(6)-ene 	45300
55-21-0	benzamide 	86500
55-63-0	glycerol trinitrate 	92000
5500-21-0	cyclopropylcyanide 	40900
5509-65-9	2,6-difluoroaniline 	47500
551-62-2	1,2,3,4-tetrafluorobenzene 	37500
55208-76-9	3,3,6,6-tetrapropyl-1,2,4,5-tetraoxacyclohexane 	65100
55282-28-5	8,8-dipentylheptadecane 	128100
55282-29-6	8-hexyl-8-pentylhexadecane 	125700
55282-30-9	5-ethyl-5-methyltetracosane 	133800
55282-32-1	10-hexyl-10-methyleicosane 	129900
553-26-4	4,4'-bipyridine 	71100
553-90-2	dimethyl oxalate 	53600
55334-54-8	N,N-dioctyl hexanamide 	88100
55373-89-2	methyl pentacosanoate 	142000
554-12-1	methyl propanoate 	34800
554-14-3	2-methylthiophene 	38700
554-84-7	2-methyl-5-nitrophenol 	85900
55406-13-8	3-methyl-2-thiophenecarbonitrile 	54400
555-43-1	tristearin 	236200
555-44-2	glycerol tripalmitate 	217100
555-45-3	glycerol trimyristate 	199200
556-61-6	methyl isothiocyanate 	37300
55682-91-2	methyl heptacosanoate 	152200
55682-92-3	methyl octacosanoate 	157500
557-00-6	propyl isovalerate 	44300
557-17-5	methyl propyl ether 	27700
558-17-8	2-iodo-2-methylpropane 	36200
558-37-2	3,3-dimethyl-1-butene 	26900
55962-01-1	ethyl decyl ether 	65900
5597-89-7	trans bicyclo[3.3.0]octane 	42700
56-23-5	carbon tetrachloride 	32400
56-55-3	benz[a]anthracene 	101200
56-81-5	glycerol 	90000
560-21-4	2,3,3-trimethylpentane 	37200
560-23-6	2,3,3-trimethyl-1-pentene 	38500
5617-41-4	n-heptylcyclohexane 	64900
5617-42-5	heptylcyclopentane 	60800
56195-34-7	(E) 11-tridecen-1-ol 	97200
56195-36-9	(E) 11-tridecenyl acetate 	86400
562-49-2	3,3-dimethylpentane 	33000
562-74-3	terpinen-4-ol 	55500
56209-67-7	(E) 4-tetradecenyl acetate 	89000
56218-63-4	(E) 3-dodecenyl acetate 	79800
56218-64-5	(E) 8-tetradecenyl acetate 	89200
56218-65-6	(E) 5-hexadecenyl acetate 	98800
56218-66-7	(E) 6-hexadecenyl acetate 	98600
56218-67-8	(Z) 8-hexadecenyl acetate 	97800
56218-68-9	(E) 8-hexadecenyl acetate 	98600
56218-69-0	(E) 9-hexadecenyl acetate 	98900
56218-70-3	(Z) 10-hexadecenyl acetate 	98500
56218-71-4	(E) 10-hexadecenyl acetate 	99100
56218-72-5	(E) 11-hexadecenyl acetate 	99500
56218-73-6	(Z) 12-hexadecenyl acetate 	99500
56218-74-7	(Z) 13-hexadecenyl acetate 	100000
56218-94-1	(Z) 9-pentadecen-1-ol 	105300
56219-03-5	(Z) 9-dodecenal 	70100
56219-04-6	(Z) 9-hexadecenal 	88000
56219-06-8	methyl Z 9-tetradecenoate 	87100
56221-90-0	(E) 3-tetradecenyl acetate 	89200
563-16-6	3,3-dimethylhexane 	37500
563-45-1	3-methyl-1-butene 	23900
563-46-2	2-methyl-1-butene 	26400
563-47-3	3-chloro-2-methyl-1-propene 	33300
563-78-0	2,3-dimethyl-1-butene 	29200
563-79-1	2,3-dimethyl-2-butene 	32600
563-80-4	3-methyl-2-butanone 	36800
5634-30-0	dodecylcyclopentane 	85500
56375-96-3	1,2-dichlorononane 	62100
564-03-4	3,3,4-trimethyl-1-pentene 	38100
564-04-5	2,2-dimethyl-3-pentanone 	42300
5648-29-3	3,5,7-trioxanonane 	44700
565-59-3	(dl) 2,3-dimethylpentane 	34300
565-60-5	(dl) 3-methyl-2-pentanol 	58200
565-61-7	(dl) 3-methyl-2-pentanone 	41400
565-67-3	(dl) 2-methyl-3-pentanol 	56000
565-69-5	2-methyl-3-pentanone 	40200
565-75-3	2,3,4-trimethylpentane 	37700
565-76-4	2,3,4-trimethyl-1-pentene 	38500
565-77-5	2,3,4-trimethyl-2-pentene 	39300
565-80-0	2,4-dimethyl-3-pentanone 	42200
56577-30-1	(E) 7-tridecenyl acetate 	84800
56578-18-8	(E) 5-decen-1-ol 	80600
56683-54-6	(Z) 11-hexadecen-1-ol 	111300
5676-29-9	alpha-tert-butylstyrene 	53200
56797-40-1	(Z) 7-hexadecenal 	87800
5683-33-0	2-N,N-dimethylaminopyridine 	54600
5685-46-1	bicyclopropyl 	31700
56860-81-2	3-(difluoromethoxy)-1,1,1,2,2-pentafluoropropane 	31200
5689-04-3	cis 2-hexahydroindanone 	57500
56922-71-5	propyl 3-methylbut-2-enoate 	53000
56922-76-2	pentyl 3-methylbut-2-enoate 	61800
5698-29-3	octanolactone 	52800
57-06-7	allyl isothiocyanate 	42100
57-10-3	hexadecanoic acid 	121600
57-11-4	octadecanoic acid 	132600
57-55-6	1,2-propanediol 	66400
57-57-8	beta-propiolactone 	47000
57-88-5	cholesterol 	153700
57074-37-0	(Z) 4-decen-1-ol 	79600
57382-97-5	ethyl 2-thiopheneacetate 	61800
57393-02-9	(Z) 10-tetradecen-1-ol 	101100
57491-33-5	(E) 11-hexadecenal 	89200
576-24-9	2,3-dichlorophenol 	57300
5765-44-6	5-methylisoxazole 	39700
5766-79-0	alpha-phenyl-1-piperidinoacetonitrile 	73200
577-16-2	2’-methylacetophenone 	58900
57716-88-8	(Z) 11-octadecen-1-ol 	119600
578-54-1	2-ethylaniline 	60600
578-57-4	2-bromoanisole 	61800
579-44-2	(dl) benzoin 	98500
579-55-5	fluorodiphenylmethane 	69800
579-66-8	2,6-diethylaniline 	65900
58-72-0	triphenylethylene 	91800
580-13-2	2-bromonaphthalene 	66100
58006-18-1	glycerol tri(2,2-diemthylpropanoate) 	91600
5802-82-4	methyl hexacosanoate 	147100
581-47-5	2,4'-bipyridine 	70900
581-55-5	phenylmethylenediacetate 	69900
5821-51-2	corannulene 	115500
583-48-2	3,4-dimethylhexane 	39000
583-59-5	2-methylcyclohexanol 	63300
583-60-8	2-methylcyclohexanone 	44000
583-61-9	2,3-dimethylpyridine 	49800
583-78-8	2,5-dichlorophenol 	56700
5834-16-2	3-methyl-2-thiophenecarboxyaldehyde 	56200
584-02-1	3-pentanol 	53100
584-94-1	2,3-dimethylhexane 	38800
58414-52-1	methyl 3-thiopheneacetate 	60900
585-32-0	alpha,alpha-dimethylbenzylamine 	56700
585-34-2	3-tert-butylphenol 	71300
585-48-8	2,6-di-tert-butylpyridine 	57000
585-71-7	(1-bromoethyl)benzene 	54400
5856-66-6	tetrapentacontane 	271000
5857-36-2	2,2,4-trimethyl-3-pentanone 	43300
5881-17-4	3-ethyloctane 	49000
589-34-4	(dl) 3-methylhexane 	35100
589-35-5	(dl) 3-methyl-1-pentanol 	61700
589-38-8	3-hexanone 	41800
589-43-5	2,4-dimethylhexane 	37800
589-53-7	4-methylheptane 	40400
589-55-9	4-heptanol 	62800
589-62-8	(dl) 4-octanol 	67200
589-81-1	3-methylheptane 	39800
590-01-2	butyl propanoate 	49500
590-18-1	cis 2-butene 	22100
590-19-2	1,2-butadiene 	23900
590-35-2	2,2-dimethylpentane 	32300
590-36-3	2-methyl-2-pentanol 	54700
590-66-9	1,1-dimethylcyclohexane 	38200
590-73-8	2,2-dimethylhexane 	37300
591-19-5	3-bromoaniline 	63400
591-22-0	3,5-dimethylpyridine 	48600
591-23-1	3-methylcyclohexanol 	65500
591-33-3	3'-ethoxyacetanilide 	94100
591-47-9	(dl) 4-methyl-1-cyclohexene 	36300
591-49-1	1-methyl-1-cyclohexene 	37500
591-50-4	iodobenzene 	48200
591-76-4	2-methylhexane 	34800
591-78-6	2-hexanone 	42800
591-80-0	4-pentenoic acid 	65800
591-93-5	1,4-pentadiene 	25200
591-95-7	1,2-pentadiene 	28700
591-96-8	2,3-pentadiene 	29500
5910-89-4	2,3-dimethylpyrazine 	52600
59101-23-4	(E) 4-hexadecen-1-ol 	111500
59101-24-5	(E) 4-tetradecen-1-ol 	100700
5911-04-6	3-methylnonane 	50200
592-13-2	2,5-dimethylhexane 	37900
592-27-8	2-methylheptane 	39700
592-41-6	1-hexene 	30600
592-65-4	diisobutyl sulfide 	48600
592-76-7	1-heptene 	35700
592-84-7	butyl formate 	39700
593-33-9	1-fluorotetradecane 	73500
593-45-3	octadecane 	91500
5932-79-6	4-nonanol 	71500
594-20-7	2,2-dichloropropane 	32100
594-21-2	perfluoro-2-methylbutane 	26900
594-36-5	2-chloro-2-methylbutane 	35000
594-56-9	2,3,3-trimethyl-1-butene 	34300
594-60-5	2,3-dimethyl-2-butanol 	54000
594-70-7	2-methyl-2-nitropropane 	42700
5963-13-3	1,7-dioxa-8-cyclohexadecanone 	73300
59643-75-3	cis 2,3-dimethyl-3-hexene 	38900
597-49-9	3-ethyl-3-pentanol 	57300
598-23-2	3-methyl-1-butyne 	25800
598-25-4	3-methyl-1,2-butadiene 	28000
598-53-8	isopropyl methyl ether 	26400
598-75-4	3-methyl-2-butanol 	51700
598-98-1	methyl 2,2-dimethylpropanoate 	38800
598-99-2	methyl trichloroacetate 	48300
5989-27-5	(d) limonene 	49500
5989-54-8	(l) limonene 	49000
60-01-5	tributyrin 	94700
60-12-8	2-phenylethanol 	68500
60-29-7	diethyl ether 	27200
60-33-3	linoleic acid 	134100
600-00-0	ethyl 2-bromo-2-methylpropionate 	45400
600-24-8	(dl) 2-nitrobutane 	45100
60037-58-3	(Z) 13-octadecenyl acetate 	108700
6006-33-3	tridecylcyclohexane 	94500
6006-34-4	tridecylcyclopentane 	90500
6006-95-7	pentadecylcyclohexane 	104400
6008-27-1	oxo-2-cyclodecanone 	59000
601-76-3	1,1-dinitropropane 	62500
60145-21-3	2,2’,4,5’,6-pentachlorobiphenyl 	91600
603-34-9	triphenylamine 	90200
603-76-9	1-methylindole 	62500
6032-29-7	2-pentanol 	53600
60433-11-6	perfluoro(cis-decahydronaphthalene) 	47400
60433-12-7	perfluoro(trans-decahydronaphthalene) 	47000
605-02-7	1-phenylnaphthalene 	81100
6064-42-2	7-heptadecanone 	94500
60672-60-8	(ethaneperoxoato) pentafluoro sulfur 	36200
608-93-5	pentachlorobenzene 	64900
609-26-7	3-ethyl-2-methylpentane 	38500
6094-02-6	2-methyl-1-hexene 	35100
60964-49-0	1-octyl-2-methylimidazole 	83800
610-48-0	1-methylanthracene 	87000
61012-46-2	methyl Z,Z 11,14-eicosadieneoate 	117500
61012-47-3	methyl Z,Z 13,16-docosadienoate 	127900
611-14-3	2-ethyltoluene 	47300
611-32-5	8-methylquinoline 	63900
611-74-5	N,N-dimethylbenzamide 	72500
61136-57-0	trichloromethyl 2-chloro-1,1,2,3,3,3-hexafluoropropyl ether 	42800
61196-11-0	(1,1,2-trifluoro-2,2-dichloroethyl)(2,2,3,3-tetrafluoro-1,1,3-trichloropropyl) ether 	50700
612-00-0	1,1-diphenylethane 	68900
612-17-9	1,4-dihydronaphthalene 	54200
612-22-6	2-nitro-1-ethylbenzene 	63000
612-55-5	2-iodonaphthalene 	69800
612-71-5	1,3,5-triphenylbenzene 	136700
613-12-7	2-methylanthracene 	84500
613-93-4	N-methylbenzamide 	84900
61301-56-2	(E) 11-hexadecen-1-ol 	111800
615-18-9	2-chlorobenzoxazole 	56300
615-81-6	diisopropyl oxalate 	61300
616-12-6	trans 3-methyl-2-pentene 	31700
616-21-7	1,2-dichlorobutane 	40200
616-38-6	dimethylcarbonate 	37900
616-39-7	N,N-diethylmethylamine 	31800
616-44-4	3-methylthiophene 	39500
616-45-5	2-pyrrolidone 	71400
616-47-7	1-methylimidazole 	54800
6163-64-0	methyl tert-butyl sulfide 	35100
6163-66-2	di-tert-butyl ether 	37500
617-78-7	3-ethylpentane 	35200
617-84-5	N,N-diethylformamide 	50300
617-90-3	2-furancarbonitrile 	44800
617-94-7	alpha,alpha-dimethylbenzyl alcohol 	65000
6175-49-1	2-dodecanone 	71800
618-36-0	(dl) alpha-methyl benzylamine 	54500
61812-55-3	(1-cyclohexyloxyethyl)benzene 	69800
61847-78-7	trans 2,4-dimethyl-3-hexene 	38500
61847-79-8	2-isopropyl-1-pentene 	38800
61847-80-1	3-ethyl-4-methyl-1-pentene 	38500
6186-98-7	(Z) 11-octadecenyl acetate 	108400
619-42-1	methyl 4-bromobenzoate 	66100
619-44-3	methyl 4-iodobenzoate 	65200
619-45-4	methyl 4-aminobenzoate 	84000
619-99-8	3-ethylhexane 	39700
6196-60-7	3-ethyl-3-methyl-1-pentene 	38900
6196-85-6	1-chloro-1-methylcyclopentane 	39700
62-44-2	4'-ethoxyacetanilide 	94800
62-53-3	aniline 	55800
62-73-7	dimethyl-(2,2-dichlorovinyl) phosphate 	68000
620-02-0	5-methyl-2-furaldehyde 	59400
620-05-3	benzyl iodide 	55200
620-08-6	4-methoxypyridine 	55100
620-14-4	3-ethyltoluene 	46800
620-63-3	glycerol tri(3-methylbutanoate) 	106000
620-68-8	glycerol tri(pentanoate) 	107900
620-82-6	dicyclohexyl oxalate 	92100
620-83-7	(4-methylphenyl)phenylmethane 	69500
62016-13-1	2-methyl-3-isopropylhexane 	46400
62016-75-5	1-chloroheptadecane 	103600
62016-76-6	1-chlorononadecane 	114700
62017-16-7	1,1-dichlorohexane 	48700
621-23-8	1,3,5-trimethoxybenzene 	68200
621-70-5	glycerol tricaproate 	108300
621-71-6	glycerol tricaprate 	154600
62108-41-2	methyl tert-octyl ether 	45300
62127-51-9	1-iodononadecane 	113800
62154-78-3	2,3,3-trinitro-2-methylpentane 	91400
62184-82-1	(dl) 1,3-dimethylcyclopentene 	35000
622-38-8	ethyl phenyl sulfide 	56400
622-45-7	cyclohexyl acetate 	52900
622-96-8	4-ethyltoluene 	46600
6222-35-1	cyclohexyl propanoate 	56600
623-12-1	4-chloroanisole 	54800
623-37-0	(dl) 3-hexanol 	58600
623-42-7	methyl butyrate 	39900
623-55-2	5-methyl-3-hexanol 	59800
623-81-4	diethyl sulfite 	44500
623-93-8	5-nonanol 	71400
6231-18-1	2,6-dimethoxypyridine 	53900
62391-95-1	ethyl bis(isopropyl)cyanoacetate 	65000
624-08-8	9-heptadecanol 	108500
624-20-4	1,2-dibromohexane 	56500
624-24-8	methyl valerate 	44000
624-29-3	cis 1,4-dimethylcyclohexane 	39000
624-48-6	dimethyl maleate 	64400
624-51-1	3-nonanol 	70900
624-54-4	pentyl propanoate 	52200
624-64-6	trans 2-butene 	21300
624-73-7	1,2-diiodoethane 	49800
624-83-9	methyl isocyanate 	28700
624-89-5	ethyl methyl sulfide 	31500
624-92-0	dimethyl disulfide 	38100
624-95-3	3,3-dimethyl-1-butanol 	58000
625-16-1	tert-pentyl acetate 	42000
625-23-0	2-methyl-2-hexanol 	58600
625-25-2	2-methyl-2-heptanol 	62900
625-27-4	2-methyl-2-pentene 	31600
625-29-6	2-chloropentane 	36000
625-36-3	2,5-dimethylfuran 	31800
625-50-3	N-ethylacetamide 	64900
625-54-7	ethyl isopropyl ether 	30000
625-60-5	S-ethyl thiolacetate 	40000
625-65-0	2,4-dimethylpent-2-ene 	34400
625-69-4	2,4-pentanediol 	72500
625-80-9	diisopropyl sulfide 	39600
626-01-7	3-iodoaniline 	67500
626-23-3	N,N-di-sec-butylamine 	41300
626-26-6	di-tert-butyl sulfide 	45600
626-55-1	3-bromopyridine 	48700
626-56-2	3-methylpiperidine 	44400
626-58-4	4-methylpiperidine 	40600
626-60-8	3-chloropyridine 	45700
626-62-0	iodocyclohexane 	49000
626-67-5	N-methylpiperidine 	36500
626-92-6	1,4-dichloropentane 	48500
626-93-7	(dl) 2-hexanol 	57700
6263-62-3	benzyl ethyl sulfide 	56900
627-03-2	ethoxyacetic acid 	69100
627-05-4	1-nitrobutane 	47900
627-19-0	1-pentyne 	28400
627-20-3	cis 2-pentene 	26800
627-21-4	2-pentyne 	30800
627-26-9	(E) 2-butenenitrile 	40000
627-27-0	3-buten-1-ol 	50800
627-31-6	1,3-diiodopropane 	54100
627-45-2	N-ethylformamide 	58400
627-51-0	divinyl sulfide 	38300
627-65-1	(dl) (1-chloroethyl)benzene 	52600
627-93-0	dimethyl adipate 	69800
627-97-4	2-methyl-2-heptene 	39700
6279-86-3	tris-(carboethoxy)methane 	79100
628-05-7	1-nitropentane 	50700
628-17-1	1-iodopentane 	44900
628-21-7	1,4-diiodobutane 	59000
628-28-4	1-methoxybutane 	32400
628-29-5	butyl methyl sulfide 	40800
628-32-0	1-ethoxypropane 	31400
628-51-3	diacetoxymethane 	56400
628-55-7	diisobutyl ether 	41200
628-63-7	pentyl acetate 	48600
628-73-9	hexanenitrile 	48200
628-76-2	1,5-dichloropentane 	51400
628-92-2	cycloheptene 	36700
628-96-6	ethylene glycol dinitrate 	70500
628-99-9	2-nonanol 	72900
62881-9 	butyl ethyl ether 	36400
629-04-9	1-bromoheptane 	50500
629-05-0	1-octyne 	42300
629-06-1	1-chloroheptane 	47500
629-08-3	heptanonitrile 	51100
629-14-1	1,2-diethoxyethane 	43200
629-19-6	dipropyl disulfide 	53400
629-20-9	cyclooctatetraene 	43100
629-30-1	1,7-heptanediol 	96400
629-32-3	heptyl methyl ether 	46900
629-33-4	hexyl formate 	50000
629-41-4	1,8-octanediol 	106200
629-45-8	dibutyl disulfide 	62900
629-50-5	tridecane 	66500
629-54-4	tetradecane 	71300
629-60-7	tridecanonitrile 	80300
629-62-9	pentadecane 	76100
629-63-0	myristonitrile 	84800
629-70-9	hexadecyl acetate 	102300
629-73-2	1-hexadecene 	80200
629-76-5	1-pentadecanol 	104400
629-78-7	heptadecane 	86200
629-79-8	hexadecanenitrile 	93300
629-80-1	hexadecanal 	89700
629-92-5	nonadecane 	96100
629-94-7	heneicosane 	108100
629-96-9	1-eicosanol 	125900
629-97-0	docosane 	114500
629-99-2	pentacosane 	128200
6290-03-5	(R) 1,3-butanediol 	72300
6290-49-9	methoxyacetic acid, methyl ester 	39300
6291-84-5	3-(methylamino)propylamine 	50900
62936-12-3	(E) 5-dodecen-1-ol 	90700
62936-14-5	(E) 5-tetradecen-1-ol 	100800
62957-60-2	ethoxyacetonitrile 	46500
62972-93-4	(E) 11-octadecen-1-ol 	120400
630-01-3	hexacosane 	136900
630-02-4	octacosane 	149000
630-03-5	nonacosane 	147100
630-04-6	hentriacontane 	157300
630-05-7	tritriacontane 	167600
630-06-8	hexatriacontane 	182800
630-07-9	pentatriacontane 	178000
630-18-2	pivalonitrile 	37800
630-20-6	1,1,1,2-tetrachloroethane 	41100
631-65-2	2-chloro-3-methylbutane 	35900
6310-21-0	2-tert-butylaniline 	62700
63364-38-5	3,3,6,6,9,9-tetraethyl-1,2,4,5,7,8-hexaoxacyclononane 	63600
634-66-2	1,2,3,4-tetrachlorobenzene 	60100
634-90-2	1,2,3,5-tetrachlorobenzene 	60700
635-46-1	1,2,3,4-tetrahydroquinoline 	65300
637-92-3	tert-butyl ethyl ether 	33300
638-02-8	2,5-dimethylthiophene 	40200
638-04-0	cis 1,3-dimethylcyclohexane 	38200
638-10-8	ethyl 3-methylbut-2-enoate 	49300
638-45-9	1-iodohexane 	49900
638-46-0	butyl ethyl sulfide 	44700
638-49-3	pentyl formate 	45200
638-59-5	tetradecyl acetate 	90800
638-67-5	tricosane 	119000
638-68-6	triacontane 	158400
63851-40-1	(Z) 7-dodecenal 	69400
63851-42-3	(Z) 5-tetradecenal 	78400
64-04-0	2-phenylethylamine 	56800
64-17-5	ethanol 	42200
64-19-7	acetic acid 	51000
640-15-3	O,O-dimethyl-S-[2-(ethylthio)ethyl]dithiophosphate 	76800
64198-22-7	methyl 2,4,4-trimethylpentanoate 	48400
643-28-7	2-isopropylaniline 	61800
643-58-3	2-methylbiphenyl 	66800
643-93-6	3-methylbiphenyl 	70000
644-08-6	4-methylbiphenyl 	69200
6443-92-1	cis 2-heptene 	37300
64437-28-1	(E) 7-tridecen-1-ol 	95600
64437-34-9	(E) 8-tetradecen-1-ol 	101400
64437-35-0	(E) 10-tetradecen-1-ol 	101500
64437-40-7	(E) 9-pentadecen-1-ol 	105900
64437-41-8	(E) 9-pentadecenyl acetate 	94300
64437-42-9	(Z) 10-pentadecen-1-ol 	105900
64437-43-0	(Z) 10-pentadecenyl acetate 	94100
64437-44-1	(E) 10-pentadecen-1-ol 	106200
64437-45-2	(E) 10-pentadecenyl acetate 	94600
64437-46-3	(Z) 8-hexadecen-1-ol 	110400
64437-47-4	(E) 9-hexadecen-1-ol 	111300
64437-48-5	(Z) 10-hexadecen-1-ol 	111000
64470-31-1	(Z) 7-tridecen-1-ol 	95100
64470-32-2	(Z) 8-tetradecen-1-ol 	100300
64470-33-3	(E) 8-hexadecen-1-ol 	111100
645-49-8	cis 1,2-diphenylethylene 	60400
646-04-8	trans 2-pentene 	26700
646-06-0	1,3-dioxolane 	35200
646-19-5	1,7-heptanediamine 	67100
646-24-2	nonane-1,9-diamine 	75500
646-25-3	decane-1,10-diamine 	80200
646-30-0	nonadecanoic acid 	138000
646-31-1	tetracosane 	125200
646621-37-1	tri-sec-pentyl phosphate 	81100
64712-27-2	1,1,1,3-tetrafluoro-3,3-dichloropropane 	31800
64789-90-8	(E) 12-hexadecenyl acetate 	99800
65-85-0	benzoic acid 	78900
65016-62-8	3-octylthiophene 	67600
65128-96-3	(Z) 7-tetradecenal 	78700
65149-84-0	2,2,3,3,4,4,5,5-octamethylhexane 	56900
6526-72-3	1-nitro-2-isopropylbenzene 	65600
65405-70-1	(E) 4-decenal 	60000
6553-48-6	(dl) trans 1,2-divinylcyclobutane 	40600
65757-61-1	(1-isopropoxyethyl)benzene 	55400
6581-66-4	2-methoxytetrahydropyran 	39300
65954-24-7	(Z) 4-hexadecenyl acetate 	97700
6596-40-3	pentacontane 	252500
66-25-1	hexanal 	42400
66-71-7	1,10-phenanthroline 	86200
661-19-8	1-docosanol 	135900
661-97-2	1,2-dichlorohexafluoropropane 	26900
66225-12-5	3,5-dimethyl-trans-2-hexene 	38900
66225-13-6	4,4-dimethyl-cis-2-hexene 	38100
66225-14-7	4,5-dimethyl-trans-2-hexene 	38500
66225-16-9	4-methyl-cis-2-heptene 	38900
66225-17-0	4-methyl-trans-2-heptene 	38900
66225-18-1	6-methyl-cis-2-heptene 	39300
66225-19-2	6-methyl-cis-3-heptene 	38900
66225-20-5	6-methyl-trans-3-heptene 	38900
66225-30-7	trans 2,3-dimethyl-3-hexene 	38900
66225-31-8	3,5-dimethyl-cis-2-hexene 	38900
6624-57-3	dibutyl glutarate 	83100
6627-89-0	tert-butyl phenyl carbonate 	67600
66644-98-2	(Z) 8-hexadecenal 	87700
6674-22-2	1,8-diazabicyclo[5.4.0]undec-7-ene 	69300
6682-71-9	4,7-dimethylindane 	58300
66922-08-5	3-methylcyclohexyl acetate 	53600
67-47-0	5-hydroxymethylfurfural 	83400
67-56-1	methanol 	37600
67-63-0	2-propanol 	44600
67-64-1	acetone 	30900
67-66-3	chloroform 	31200
67-68-5	dimethyl sulfoxide 	53100
673-66-5	azacyclooctan-2-one 	77900
674-76-0	trans 4-methyl-2-pentene 	30400
674-82-8	diketene 	42900
6742-54-7	undecylbenzene 	82400
67446-07-5	(Z) 5-decenyl acetate 	69700
67452-27-1	(Z) 4-decenyl acetate 	69000
675-20-7	2-piperidone 	70500
6765-39-5	1-heptadecene 	84900
677-21-4	3,3,3-trifluoro-1-propene 	22000
67727-91-7	N,N-diethyl-2-(1-methylhydrazino)ethanamine 	61800
67752-90-3	[2-(dimethylamino)ethyl]methylhydrazone-2-propanone 	62300
678-26-2	perfluoropentane 	27100
67815-56-9	2,3,6-trifluoroaniline 	50100
6785-23-5	undecylcyclopentane 	80600
6795-92-4	2,5-dimethyl-1-hexene 	38900
68-12-2	N,N-dimethylformamide 	46800
6812-38-0	hexadecylcyclohexane 	109300
6812-39-1	hexadecylcyclopentane 	105300
68141-15-1	(Z) 3-dodecenal 	69600
68279-24-3	(Z) 10-hexadecenal 	88200
683-08-9	diethyl methylphosphonate 	55900
683-85-2	(dimethylamino)dichlorophosphine 	40800
6857-85-1	R,S (1-sec-butoxyethyl)benzene 	58700
68676-85-7	(E) 3-decenal 	59800
6876-23-9	(dl) trans 1,2-dimethylcyclohexane 	38400
68760-59-8	(Z) 6-decen-1-ol 	80300
68760-62-3	(E) 6-tetradecen-1-ol 	100500
68760-63-4	(Z) 6-tetradecen-1-ol 	100000
68760-70-3	(Z) 6-decenyl acetate 	70100
6881-94-3	2-(2-propoxyethoxy)ethanol 	65700
68820-33-7	(Z) 5-dodecenal 	69100
68820-34-8	(E) 5-dodecenal 	69600
68892-27-3	(Z) 3-tetradecen-1-ol 	99800
68900-86-7	(E) 3-tetradecen-1-ol 	99700
68900-87-8	(E) 3-dodecen-1-ol 	89200
690-08-4	trans 4,4-dimethylpent-2-ene 	32800
690-92-6	cis 2,2-dimethyl-3-hexene 	37200
690-93-7	trans 2,2-dimethyl-3-hexene 	37200
69064-36-4	(Z) 2-dodecen-1-ol 	90700
69064-37-5	(E) 2-dodecen-1-ol 	91000
691-37-2	4-methyl-1-pentene 	28700
691-38-3	cis 4-methyl-2-pentene 	29900
691-64-5	di-tert-butyl oxalate 	63500
692-24-0	trans 2-methyl-3-hexene 	34300
692-48-8	trans 2,2,5,5-tetramethyl-3-hexene 	42000
692-70-6	trans 2,5-dimethyl-3-hexene 	37500
692-96-6	2-methyl-trans-3-heptene 	38900
6920-22-5	1,2-hexanediol 	78700
6921-35-3	3,3-dimethyloxetane 	33900
69222-14-6	(E) 11-pentadecen-1-ol 	106500
69222-15-7	(E) 12-pentadecen-1-ol 	107000
69222-16-8	(E) 4-decenyl acetate 	70100
69282-63-9	(Z) 11-pentadecen-1-ol 	106300
69282-64-0	(E) 11-octadecenyl acetate 	109100
69282-65-1	(Z) 13-hexadecen-1-ol 	112300
69282-66-2	(E) 13-hexadecen-1-ol 	112600
69282-67-3	(E) 13-hexadecenyl acetate 	100300
693-02-7	1-hexyne 	33600
693-23-2	dodecanedioic acid 	130000
693-54-9	2-decanone 	60900
693-80-1	(Z) 9-octadecenyl acetate 	107800
693-86-7	vinylcyclopropane 	28900
693-89-0	1-methylcyclopentene 	32600
693-95-8	4-methylthiazole 	43800
694-59-7	pyridine N-oxide 	66600
695-06-7	gamma-caprolactone 	56300
695-12-5	vinylcyclohexane 	39700
695-68-1	2-mercapto-4,5-dimethyl-1,3,2-dioxaphospholane-2-sulfide 	66000
696-79-7	2,2,4-trimethyl-1,3-dioxane 	41900
69775-79-7	hexyl tert-butyl ether 	53200
698-76-0	delta-octanolactone 	67000
69820-27-5	(Z) 13-octadecen-1-ol 	120800
69891-94-7	(Z) 3-decenal 	59200
69948-24-9	1-(difluoromethoxy)-1,1,2-trifluoroethane 	31700
700-38-9	2-nitro-5-methylphenol 	62800
700-58-3	2-adamantanone 	60700
702-75-0	8,8-dimethyl-6,10-dioxaspiro[4.5]decane 	53700
7035-68-9	1-ethylbenzimidazole 	76100
7040-43-9	2-tert-butylfuran 	38100
705-86-2	delta-decanolactone 	74200
706-14-9	gamma-decanolactone 	75600
706-31-0	1-trans-5-trans-9-cis-cyclododecatriene 	68000
706-79-6	1,2-dichlorohexafluorocyclopentene 	36500
707-07-3	trimethyl orthobenzoate 	59300
707-35-7	1,3,5-trimethyladamantane 	51700
707-79-4	1,3-dimethyladamantane 	49700
70711-45-4	(Z) 12-pentadecenyl acetate 	95100
70711-46-5	(Z) 13-pentadecenyl acetate 	95900
70711-48-7	(Z) 12-tetradecen-1-ol 	102500
70711-49-8	(E) 12-tetradecen-1-ol 	102500
70780-89-1	1-pentyl-2-methylimidazole 	71400
7094-27-1	1,1,4-trimethylcyclohexane 	45600
7098-07-9	1-ethylimidazole 	61700
7098-20-6	dotetracontane 	213500
7098-22-8	tetratetracontane 	223700
7098-24-0	hexatetracontane 	233300
